glong	glat	vcmb
108.27347	-64.17358	3922.00000
115.80687	-36.79599	9848.00000
114.17399	-46.00367	12400.00000
115.21228	-40.68639	5234.00000
106.98838	-66.58251	3646.00000
109.85538	-61.21491	5021.00000
342.15240	-81.70573	9270.00000
111.76129	-56.04601	11108.00000
117.67408	-23.11968	11094.00000
359.24951	-83.58285	5722.00000
107.78359	-65.73919	3800.00000
113.38328	-50.84276	1855.00000
116.82936	-30.87643	5983.00000
108.48126	-64.68225	4015.00000
317.02101	-71.81283	6000.00000
309.57049	-59.83352	7284.00000
108.87677	-63.98819	3829.00000
113.44791	-50.83826	1795.00000
118.90448	-12.64931	4932.00000
105.29578	-69.70187	7239.00000
321.23213	-75.26930	7744.00000
110.37349	-60.94551	5020.00000
115.90099	-38.37256	7057.00000
115.22336	-42.43726	5260.00000
105.31041	-69.82670	7394.00000
109.04650	-63.99848	10907.00000
314.51186	-69.24637	3228.00000
107.38311	-67.03258	5786.00000
113.40008	-51.57754	11472.00000
338.04465	-81.34929	9022.00000
102.19631	-73.42808	5659.00000
118.56551	-17.08808	11841.00000
112.98990	-53.53324	12732.00000
337.43064	-81.26846	8912.00000
109.30293	-63.75005	3743.00000
324.10034	-77.17893	11076.00000
312.19245	-66.11778	8989.00000
116.40184	-36.57937	5277.00000
102.16646	-73.47460	5960.00000
116.95252	-31.99703	6368.00000
111.21163	-59.82937	4045.00000
117.00328	-31.83688	5990.00000
100.11106	-75.37207	5955.00000
